GEO.id,GEO.id2,GEO.display-label,D001,D002,D005,D006,D007,D008,D009,D010
Id,Id2,Geography,Total:,Hispanic or Latino,Not Hispanic or Latino: - Population of one race: - White alone,Not Hispanic or Latino: - Population of one race: - Black or African American alone,Not Hispanic or Latino: - Population of one race: - American Indian and Alaska Native alone,Not Hispanic or Latino: - Population of one race: - Asian alone,Not Hispanic or Latino: - Population of one race: - Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino: - Population of one race: - Some Other Race alone
1000000US440010301004020,4.40E+14,"Block 4020, Block Group 4, Census Tract 301, Bristol County, Rhode Island",15,1,13,0,0,1,0,0
1000000US440010301004021,4.40E+14,"Block 4021, Block Group 4, Census Tract 301, Bristol County, Rhode Island",25,0,24,0,0,1,0,0
1000000US440010301004022,4.40E+14,"Block 4022, Block Group 4, Census Tract 301, Bristol County, Rhode Island",0,0,0,0,0,0,0,0
1000000US440010301004023,4.40E+14,"Block 4023, Block Group 4, Census Tract 301, Bristol County, Rhode Island",0,0,0,0,0,0,0,0
1000000US440010301004024,4.40E+14,"Block 4024, Block Group 4, Census Tract 301, Bristol County, Rhode Island",35,0,35,0,0,0,0,0
1000000US440010301004025,4.40E+14,"Block 4025, Block Group 4, Census Tract 301, Bristol County, Rhode Island",12,0,9,0,0,3,0,0
1000000US440010301004026,4.40E+14,"Block 4026, Block Group 4, Census Tract 301, Bristol County, Rhode Island",37,0,35,0,0,2,0,0
1000000US440010301004027,4.40E+14,"Block 4027, Block Group 4, Census Tract 301, Bristol County, Rhode Island",20,0,20,0,0,0,0,0
1000000US440010301004028,4.40E+14,"Block 4028, Block Group 4, Census Tract 301, Bristol County, Rhode Island",19,0,19,0,0,0,0,0
1000000US440010301004029,4.40E+14,"Block 4029, Block Group 4, Census Tract 301, Bristol County, Rhode Island",28,0,28,0,0,0,0,0
1000000US440010301004030,4.40E+14,"Block 4030, Block Group 4, Census Tract 301, Bristol County, Rhode Island",30,0,27,0,3,0,0,0
1000000US440010301004031,4.40E+14,"Block 4031, Block Group 4, Census Tract 301, Bristol County, Rhode Island",28,0,28,0,0,0,0,0
1000000US440010302001000,4.40E+14,"Block 1000, Block Group 1, Census Tract 302, Bristol County, Rhode Island",0,0,0,0,0,0,0,0
1000000US440010302001001,4.40E+14,"Block 1001, Block Group 1, Census Tract 302, Bristol County, Rhode Island",0,0,0,0,0,0,0,0
1000000US440010302001002,4.40E+14,"Block 1002, Block Group 1, Census Tract 302, Bristol County, Rhode Island",1,0,1,0,0,0,0,0
1000000US440010302001003,4.40E+14,"Block 1003, Block Group 1, Census Tract 302, Bristol County, Rhode Island",0,0,0,0,0,0,0,0
1000000US440010302001004,4.40E+14,"Block 1004, Block Group 1, Census Tract 302, Bristol County, Rhode Island",0,0,0,0,0,0,0,0
1000000US440010302001005,4.40E+14,"Block 1005, Block Group 1, Census Tract 302, Bristol County, Rhode Island",0,0,0,0,0,0,0,0
1000000US440010302001006,4.40E+14,"Block 1006, Block Group 1, Census Tract 302, Bristol County, Rhode Island",7,0,7,0,0,0,0,0
1000000US440010302001007,4.40E+14,"Block 1007, Block Group 1, Census Tract 302, Bristol County, Rhode Island",168,2,137,4,0,24,0,1
1000000US440010302001008,4.40E+14,"Block 1008, Block Group 1, Census Tract 302, Bristol County, Rhode Island",24,1,23,0,0,0,0,0
1000000US440010302001009,4.40E+14,"Block 1009, Block Group 1, Census Tract 302, Bristol County, Rhode Island",10,1,6,0,0,3,0,0
1000000US440010302001010,4.40E+14,"Block 1010, Block Group 1, Census Tract 302, Bristol County, Rhode Island",25,0,25,0,0,0,0,0
1000000US440010302001011,4.40E+14,"Block 1011, Block Group 1, Census Tract 302, Bristol County, Rhode Island",20,0,19,1,0,0,0,0
1000000US440010302001012,4.40E+14,"Block 1012, Block Group 1, Census Tract 302, Bristol County, Rhode Island",1,0,1,0,0,0,0,0
1000000US440010302001013,4.40E+14,"Block 1013, Block Group 1, Census Tract 302, Bristol County, Rhode Island",29,0,29,0,0,0,0,0
1000000US440010302001014,4.40E+14,"Block 1014, Block Group 1, Census Tract 302, Bristol County, Rhode Island",8,0,8,0,0,0,0,0
1000000US440010302001015,4.40E+14,"Block 1015, Block Group 1, Census Tract 302, Bristol County, Rhode Island",44,0,44,0,0,0,0,0
1000000US440010302001016,4.40E+14,"Block 1016, Block Group 1, Census Tract 302, Bristol County, Rhode Island",39,0,36,0,0,3,0,0
1000000US440010302001017,4.40E+14,"Block 1017, Block Group 1, Census Tract 302, Bristol County, Rhode Island",12,0,12,0,0,0,0,0
1000000US440010302001018,4.40E+14,"Block 1018, Block Group 1, Census Tract 302, Bristol County, Rhode Island",12,0,10,0,0,2,0,0
1000000US440010302001019,4.40E+14,"Block 1019, Block Group 1, Census Tract 302, Bristol County, Rhode Island",15,0,15,0,0,0,0,0
1000000US440010302001020,4.40E+14,"Block 1020, Block Group 1, Census Tract 302, Bristol County, Rhode Island",24,0,23,0,0,0,0,0
1000000US440010302001021,4.40E+14,"Block 1021, Block Group 1, Census Tract 302, Bristol County, Rhode Island",35,0,35,0,0,0,0,0
1000000US440010302001022,4.40E+14,"Block 1022, Block Group 1, Census Tract 302, Bristol County, Rhode Island",30,1,27,0,0,1,0,0
1000000US440010302001023,4.40E+14,"Block 1023, Block Group 1, Census Tract 302, Bristol County, Rhode Island",39,1,36,0,0,2,0,0
1000000US440010302001024,4.40E+14,"Block 1024, Block Group 1, Census Tract 302, Bristol County, Rhode Island",0,0,0,0,0,0,0,0
1000000US440010302001025,4.40E+14,"Block 1025, Block Group 1, Census Tract 302, Bristol County, Rhode Island",10,0,10,0,0,0,0,0
1000000US440010302001026,4.40E+14,"Block 1026, Block Group 1, Census Tract 302, Bristol County, Rhode Island",0,0,0,0,0,0,0,0
1000000US440010302001027,4.40E+14,"Block 1027, Block Group 1, Census Tract 302, Bristol County, Rhode Island",12,0,12,0,0,0,0,0
1000000US440010302001028,4.40E+14,"Block 1028, Block Group 1, Census Tract 302, Bristol County, Rhode Island",0,0,0,0,0,0,0,0
1000000US440010302001029,4.40E+14,"Block 1029, Block Group 1, Census Tract 302, Bristol County, Rhode Island",22,1,21,0,0,0,0,0
1000000US440010302001030,4.40E+14,"Block 1030, Block Group 1, Census Tract 302, Bristol County, Rhode Island",14,0,14,0,0,0,0,0
1000000US440010302001031,4.40E+14,"Block 1031, Block Group 1, Census Tract 302, Bristol County, Rhode Island",29,0,28,0,0,0,0,0
1000000US440010302001032,4.40E+14,"Block 1032, Block Group 1, Census Tract 302, Bristol County, Rhode Island",0,0,0,0,0,0,0,0
1000000US440010302001033,4.40E+14,"Block 1033, Block Group 1, Census Tract 302, Bristol County, Rhode Island",0,0,0,0,0,0,0,0
1000000US440010302001034,4.40E+14,"Block 1034, Block Group 1, Census Tract 302, Bristol County, Rhode Island",43,0,41,0,0,2,0,0
1000000US440010302001035,4.40E+14,"Block 1035, Block Group 1, Census Tract 302, Bristol County, Rhode Island",34,0,34,0,0,0,0,0
1000000US440010302001036,4.40E+14,"Block 1036, Block Group 1, Census Tract 302, Bristol County, Rhode Island",24,1,23,0,0,0,0,0
1000000US440010302001037,4.40E+14,"Block 1037, Block Group 1, Census Tract 302, Bristol County, Rhode Island",0,0,0,0,0,0,0,0
1000000US440010302001038,4.40E+14,"Block 1038, Block Group 1, Census Tract 302, Bristol County, Rhode Island",0,0,0,0,0,0,0,0
1000000US440010302002000,4.40E+14,"Block 2000, Block Group 2, Census Tract 302, Bristol County, Rhode Island",25,0,25,0,0,0,0,0
1000000US440010302002001,4.40E+14,"Block 2001, Block Group 2, Census Tract 302, Bristol County, Rhode Island",59,0,52,2,0,2,0,0
1000000US440010302002002,4.40E+14,"Block 2002, Block Group 2, Census Tract 302, Bristol County, Rhode Island",25,0,24,0,0,0,0,0
1000000US440010302002003,4.40E+14,"Block 2003, Block Group 2, Census Tract 302, Bristol County, Rhode Island",87,2,77,3,0,4,0,1
1000000US440010302002004,4.40E+14,"Block 2004, Block Group 2, Census Tract 302, Bristol County, Rhode Island",3,0,3,0,0,0,0,0
1000000US440010302002005,4.40E+14,"Block 2005, Block Group 2, Census Tract 302, Bristol County, Rhode Island",31,0,28,0,0,3,0,0
1000000US440010302002006,4.40E+14,"Block 2006, Block Group 2, Census Tract 302, Bristol County, Rhode Island",182,2,175,0,0,5,0,0
1000000US440010302002007,4.40E+14,"Block 2007, Block Group 2, Census Tract 302, Bristol County, Rhode Island",19,0,19,0,0,0,0,0
