county,office,district,party,candidate,votes
Smithfield,Representative in General Assembly District 53,,,Total,4477
Smithfield,Representative in General Assembly District 53,,DEM,Bernard A. Hawkins,2401
Smithfield,Representative in General Assembly District 53,,REP,Richard A. Poirier,2061
Smithfield,Representative in General Assembly District 53,,NON,WRITE-IN,15
Smithfield,Town Council TOWN OF SMITHFIELD,,,Total,39163
Smithfield,Town Council TOWN OF SMITHFIELD,,DEM,T. Michael Lawton,4323
Smithfield,Town Council TOWN OF SMITHFIELD,,DEM,Suzanna L. Alba,4314
Smithfield,Town Council TOWN OF SMITHFIELD,,DEM,Dina T. Cerra,3664
Smithfield,Town Council TOWN OF SMITHFIELD,,DEM,Sean M. Kilduff,3635
Smithfield,Town Council TOWN OF SMITHFIELD,,REP,Maxine A. Cavanagh,3577
Smithfield,Town Council TOWN OF SMITHFIELD,,Ind,"Albert S. Gizzarelli, Jr.",3565
Smithfield,Town Council TOWN OF SMITHFIELD,,REP,"Alberto J. LaGreca, Jr.",3501
Smithfield,Town Council TOWN OF SMITHFIELD,,REP,Ana Sara Pritchard,3269
Smithfield,Town Council TOWN OF SMITHFIELD,,REP,"John F. Emin, Jr.",3246
Smithfield,Town Council TOWN OF SMITHFIELD,,DEM,Lauraine A. Ouellette,3092
Smithfield,Town Council TOWN OF SMITHFIELD,,REP,John Henry Yoakum,2906
Smithfield,Town Council TOWN OF SMITHFIELD,,NON,WRITE-IN,71
Smithfield,School Committee TOWN OF SMITHFIELD,,,Total,22220
Smithfield,School Committee TOWN OF SMITHFIELD,,REP,Rose Marie Cipriano,5385
Smithfield,School Committee TOWN OF SMITHFIELD,,REP,Richard B. Iannitelli,4765
Smithfield,School Committee TOWN OF SMITHFIELD,,DEM,Virginia G. Harnois,4458
Smithfield,School Committee TOWN OF SMITHFIELD,,DEM,James K. McNelis,4059
Smithfield,School Committee TOWN OF SMITHFIELD,,REP,"Philip G. Hirons, Jr.",3413
Smithfield,School Committee TOWN OF SMITHFIELD,,NON,WRITE-IN,140
Smithfield,"1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000",,,Total,8713
Smithfield,"1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000",,NON,Approve,5327
Smithfield,"1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000",,NON,Reject,3386
Smithfield,"2. HIGHER EDUCATION FACILITIES - $70,000,000",,,Total,8654
Smithfield,"2. HIGHER EDUCATION FACILITIES - $70,000,000",,NON,Reject,5042
Smithfield,"2. HIGHER EDUCATION FACILITIES - $70,000,000",,NON,Approve,3612
Smithfield,"3. GREEN ECONOMY AND CLEAN WATER - $47,300,000",,,Total,8676
Smithfield,"3. GREEN ECONOMY AND CLEAN WATER - $47,300,000",,NON,Approve,5714
Smithfield,"3. GREEN ECONOMY AND CLEAN WATER - $47,300,000",,NON,Reject,2962
Smithfield,"4. ACQUISITION, CONSTRUCTION, BUILDING, FURNISHING AND",,,Total,8671
Smithfield,"4. ACQUISITION, CONSTRUCTION, BUILDING, FURNISHING AND",,NON,Approve,4638
Smithfield,"4. ACQUISITION, CONSTRUCTION, BUILDING, FURNISHING AND",,NON,Reject,4033
Smithfield,"5. CONSTRUCTION, RENOVATION, IMPROVEMENT, ALTERATION,",,,Total,8673
Smithfield,"5. CONSTRUCTION, RENOVATION, IMPROVEMENT, ALTERATION,",,NON,Approve,4639
Smithfield,"5. CONSTRUCTION, RENOVATION, IMPROVEMENT, ALTERATION,",,NON,Reject,4034
South Kingstown,Senator in Congress,,,Total,12733
South Kingstown,Senator in Congress,,DEM,Sheldon Whitehouse,8411
South Kingstown,Senator in Congress,,REP,"Robert G. Flanders, Jr.",4289
South Kingstown,Senator in Congress,,NON,WRITE-IN,33
South Kingstown,Representative in Congress District 2,,,Total,12508
South Kingstown,Representative in Congress District 2,,DEM,James R. Langevin,8894
South Kingstown,Representative in Congress District 2,,REP,Salvatore G. Caiozzo,3579
South Kingstown,Representative in Congress District 2,,NON,WRITE-IN,35
South Kingstown,Governor,,,Total,12616
South Kingstown,Governor,,DEM,Gina M. Raimondo,7452
South Kingstown,Governor,,REP,Allan W. Fung,3830
South Kingstown,Governor,,Ind,Joseph A. Trillo,520
South Kingstown,Governor,,MOD,William H. Gilbert,420
South Kingstown,Governor,,Com,Anne Armstrong,173
South Kingstown,Governor,,Ind,Luis Daniel Munoz,151
South Kingstown,Governor,,NON,WRITE-IN,70
South Kingstown,Lieutenant Governor,,,Total,12168
South Kingstown,Lieutenant Governor,,DEM,Daniel J. McKee,7943
South Kingstown,Lieutenant Governor,,REP,Paul E. Pence,3025
South Kingstown,Lieutenant Governor,,MOD,Joel J. Hellmann,410
South Kingstown,Lieutenant Governor,,Ind,Jonathan J. Riccitelli,350
South Kingstown,Lieutenant Governor,,Ind,Ross K. McCurdy,321
South Kingstown,Lieutenant Governor,,NON,WRITE-IN,119
South Kingstown,Secretary of State,,,Total,12300
South Kingstown,Secretary of State,,DEM,Nellie M. Gorbea,8863
South Kingstown,Secretary of State,,REP,Pat V. Cortellessa,3423
South Kingstown,Secretary of State,,NON,WRITE-IN,14
South Kingstown,Attorney General,,,Total,11393
South Kingstown,Attorney General,,DEM,Peter F. Neronha,9517
South Kingstown,Attorney General,,Com,Alan Gordon,1796
South Kingstown,Attorney General,,NON,WRITE-IN,80
South Kingstown,General Treasurer,,,Total,12305
South Kingstown,General Treasurer,,DEM,Seth Magaziner,8406
South Kingstown,General Treasurer,,REP,Michael G. Riley,3888
South Kingstown,General Treasurer,,NON,WRITE-IN,11
South Kingstown,Senator in General Assembly District 35,,,Total,536
South Kingstown,Senator in General Assembly District 35,,DEM,Bridget G. Valverde,303
South Kingstown,Senator in General Assembly District 35,,REP,Dana W. Gee,233
South Kingstown,Senator in General Assembly District 35,,NON,WRITE-IN,0
South Kingstown,Senator in General Assembly District 37,,,Total,9038
South Kingstown,Senator in General Assembly District 37,,DEM,V. Susan Sosnowski,8728
South Kingstown,Senator in General Assembly District 37,,NON,WRITE-IN,310
South Kingstown,Senator in General Assembly District 38,,,Total,747
South Kingstown,Senator in General Assembly District 38,,REP,Dennis L. Algiere,689
South Kingstown,Senator in General Assembly District 38,,NON,WRITE-IN,58
South Kingstown,Representative in General Assembly District 33,,,Total,3245
South Kingstown,Representative in General Assembly District 33,,DEM,Carol Hagan McEntee,2104
South Kingstown,Representative in General Assembly District 33,,REP,Deborah Rowley,1136
South Kingstown,Representative in General Assembly District 33,,NON,WRITE-IN,5
South Kingstown,Representative in General Assembly District 34,,,Total,2827
South Kingstown,Representative in General Assembly District 34,,DEM,Teresa Tanzi,1842
South Kingstown,Representative in General Assembly District 34,,Ind,Ewa M. Dzwierzynski,979
South Kingstown,Representative in General Assembly District 34,,NON,WRITE-IN,6
South Kingstown,Representative in General Assembly District 35,,,Total,4317
South Kingstown,Representative in General Assembly District 35,,DEM,Kathleen A. Fogarty,3003
South Kingstown,Representative in General Assembly District 35,,Ind,John Brandon Monk,1298
South Kingstown,Representative in General Assembly District 35,,NON,WRITE-IN,16
South Kingstown,Representative in General Assembly District 36,,,Total,1297
South Kingstown,Representative in General Assembly District 36,,REP,Blake A. Filippi,1205
South Kingstown,Representative in General Assembly District 36,,NON,WRITE-IN,92
South Kingstown,Town Council TOWN OF SOUTH KINGSTOWN,,,Total,50848
South Kingstown,Town Council TOWN OF SOUTH KINGSTOWN,,DEM,Abel G. Collins,5946
South Kingstown,Town Council TOWN OF SOUTH KINGSTOWN,,DEM,Bryant C. Da Cruz,5885
South Kingstown,Town Council TOWN OF SOUTH KINGSTOWN,,Ind,Joe Viele,5690
South Kingstown,Town Council TOWN OF SOUTH KINGSTOWN,,DEM,Rory H. McEntee,5551
South Kingstown,Town Council TOWN OF SOUTH KINGSTOWN,,DEM,Deborah J. Kelso,5160
South Kingstown,Town Council TOWN OF SOUTH KINGSTOWN,,Ind,Liz Gledhill,5112
South Kingstown,Town Council TOWN OF SOUTH KINGSTOWN,,DEM,Deborah D. Bergner,4528
South Kingstown,Town Council TOWN OF SOUTH KINGSTOWN,,Ind,James W. O&#39;Neill,3857
South Kingstown,Town Council TOWN OF SOUTH KINGSTOWN,,Ind,Charles Greg Sweet,3667
South Kingstown,Town Council TOWN OF SOUTH KINGSTOWN,,Ind,"William Murray Gates, IV",3413
South Kingstown,Town Council TOWN OF SOUTH KINGSTOWN,,Ind,Kevin A. Sullivan,1964
South Kingstown,Town Council TOWN OF SOUTH KINGSTOWN,,NON,WRITE-IN,75
South Kingstown,School Committee TOWN OF SOUTH KINGSTOWN,,,Total,46553
South Kingstown,School Committee TOWN OF SOUTH KINGSTOWN,,DEM,Emily C. Cummiskey,6282
South Kingstown,School Committee TOWN OF SOUTH KINGSTOWN,,Ind,Sarah E. Markey,5514
South Kingstown,School Committee TOWN OF SOUTH KINGSTOWN,,DEM,Katherine M. Macinanti,5311
South Kingstown,School Committee TOWN OF SOUTH KINGSTOWN,,Ind,Jacy A. Northup,5301
South Kingstown,School Committee TOWN OF SOUTH KINGSTOWN,,Ind,Stephanie R. Canter,5173
South Kingstown,School Committee TOWN OF SOUTH KINGSTOWN,,DEM,Raissa N. Mosher,4958
South Kingstown,School Committee TOWN OF SOUTH KINGSTOWN,,REP,Roland E. Benjamin,4857
South Kingstown,School Committee TOWN OF SOUTH KINGSTOWN,,DEM,Carol A. Vetter,4747
South Kingstown,School Committee TOWN OF SOUTH KINGSTOWN,,DEM,Stephen Scott Mueller,4286
South Kingstown,School Committee TOWN OF SOUTH KINGSTOWN,,NON,WRITE-IN,124
South Kingstown,"1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000",,,Total,12106
South Kingstown,"1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000",,NON,Approve,9204
South Kingstown,"1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000",,NON,Reject,2902
South Kingstown,"2. HIGHER EDUCATION FACILITIES - $70,000,000",,,Total,12053
South Kingstown,"2. HIGHER EDUCATION FACILITIES - $70,000,000",,NON,Approve,8046
South Kingstown,"2. HIGHER EDUCATION FACILITIES - $70,000,000",,NON,Reject,4007
South Kingstown,"3. GREEN ECONOMY AND CLEAN WATER - $47,300,000",,,Total,12132
South Kingstown,"3. GREEN ECONOMY AND CLEAN WATER - $47,300,000",,NON,Approve,9891
South Kingstown,"3. GREEN ECONOMY AND CLEAN WATER - $47,300,000",,NON,Reject,2241
Tiverton,Senator in Congress,,,Total,6500
Tiverton,Senator in Congress,,DEM,Sheldon Whitehouse,3675
Tiverton,Senator in Congress,,REP,"Robert G. Flanders, Jr.",2815
Tiverton,Senator in Congress,,NON,WRITE-IN,10
Tiverton,Representative in Congress District 1,,,Total,6441
Tiverton,Representative in Congress District 1,,DEM,David N. Cicilline,3684
Tiverton,Representative in Congress District 1,,REP,Patrick J. Donovan,2751
Tiverton,Representative in Congress District 1,,NON,WRITE-IN,6
Tiverton,Governor,,,Total,6497
Tiverton,Governor,,DEM,Gina M. Raimondo,3516
Tiverton,Governor,,REP,Allan W. Fung,2370
Tiverton,Governor,,Ind,Joseph A. Trillo,321
Tiverton,Governor,,MOD,William H. Gilbert,148
Tiverton,Governor,,Ind,Luis Daniel Munoz,74
Tiverton,Governor,,Com,Anne Armstrong,54
Tiverton,Governor,,NON,WRITE-IN,14
Tiverton,Lieutenant Governor,,,Total,6248
Tiverton,Lieutenant Governor,,DEM,Daniel J. McKee,3458
Tiverton,Lieutenant Governor,,REP,Paul E. Pence,2280
Tiverton,Lieutenant Governor,,MOD,Joel J. Hellmann,213
Tiverton,Lieutenant Governor,,Ind,Jonathan J. Riccitelli,139
Tiverton,Lieutenant Governor,,Ind,Ross K. McCurdy,130
Tiverton,Lieutenant Governor,,NON,WRITE-IN,28
Tiverton,Secretary of State,,,Total,6281
Tiverton,Secretary of State,,DEM,Nellie M. Gorbea,3936
Tiverton,Secretary of State,,REP,Pat V. Cortellessa,2340
Tiverton,Secretary of State,,NON,WRITE-IN,5
Tiverton,Attorney General,,,Total,5665
Tiverton,Attorney General,,DEM,Peter F. Neronha,4413
Tiverton,Attorney General,,Com,Alan Gordon,1200
Tiverton,Attorney General,,NON,WRITE-IN,52
Tiverton,General Treasurer,,,Total,6234
Tiverton,General Treasurer,,DEM,Seth Magaziner,3704
Tiverton,General Treasurer,,REP,Michael G. Riley,2525
Tiverton,General Treasurer,,NON,WRITE-IN,5
Tiverton,Senator in General Assembly District 10,,,Total,2500
Tiverton,Senator in General Assembly District 10,,DEM,"Walter S. Felag, Jr.",2438
Tiverton,Senator in General Assembly District 10,,NON,WRITE-IN,62
Tiverton,Senator in General Assembly District 11,,,Total,920
Tiverton,Senator in General Assembly District 11,,DEM,James Arthur Seveney,525
Tiverton,Senator in General Assembly District 11,,REP,Stephanie L. Calise,394
Tiverton,Senator in General Assembly District 11,,NON,WRITE-IN,1
Tiverton,Senator in General Assembly District 12,,,Total,2208
Tiverton,Senator in General Assembly District 12,,DEM,Louis P. DiPalma,1272
Tiverton,Senator in General Assembly District 12,,REP,Amy E. Veri,935
Tiverton,Senator in General Assembly District 12,,NON,WRITE-IN,1
Tiverton,Representative in General Assembly District 70,,,Total,3393
Tiverton,Representative in General Assembly District 70,,DEM,John G. Edwards,3288
Tiverton,Representative in General Assembly District 70,,NON,WRITE-IN,105
Tiverton,Representative in General Assembly District 71,,,Total,1509
Tiverton,Representative in General Assembly District 71,,DEM,Dennis M. Canario,1448
Tiverton,Representative in General Assembly District 71,,NON,WRITE-IN,61
Tiverton,Non-Partisan Town Council TOWN OF TIVERTON,,,Total,35083
Tiverton,Non-Partisan Town Council TOWN OF TIVERTON,,NON,Donna J. Cook,2506
Tiverton,Non-Partisan Town Council TOWN OF TIVERTON,,NON,Justin David Katz,2348
Tiverton,Non-Partisan Town Council TOWN OF TIVERTON,,NON,Nancy L. Driggs,2317
Tiverton,Non-Partisan Town Council TOWN OF TIVERTON,,NON,Denise M. deMedeiros,2230
Tiverton,Non-Partisan Town Council TOWN OF TIVERTON,,NON,"Joseph C. Perry, Jr.",2217
Tiverton,Non-Partisan Town Council TOWN OF TIVERTON,,NON,Patricia M. Hilton,2115
Tiverton,Non-Partisan Town Council TOWN OF TIVERTON,,NON,Robert D. Coulter,2020
Tiverton,Non-Partisan Town Council TOWN OF TIVERTON,,NON,Stephen T. Clarke,2003
Tiverton,Non-Partisan Town Council TOWN OF TIVERTON,,NON,"John G. Edwards, V",1949
Tiverton,Non-Partisan Town Council TOWN OF TIVERTON,,NON,Kelly A. Levesque,1937
Tiverton,Non-Partisan Town Council TOWN OF TIVERTON,,NON,Richard A. Rom,1898
Tiverton,Non-Partisan Town Council TOWN OF TIVERTON,,NON,Raymond D. Fougere,1893
Tiverton,Non-Partisan Town Council TOWN OF TIVERTON,,NON,Randy J. Lebeau,1886
Tiverton,Non-Partisan Town Council TOWN OF TIVERTON,,NON,Joan B. Chabot,1811
Tiverton,Non-Partisan Town Council TOWN OF TIVERTON,,NON,David Perry,1788
Tiverton,Non-Partisan Town Council TOWN OF TIVERTON,,NON,David J. Paull,1596
Tiverton,Non-Partisan Town Council TOWN OF TIVERTON,,NON,Michael S. Burk,1472
Tiverton,Non-Partisan Town Council TOWN OF TIVERTON,,NON,William C. McLaughlin,992
Tiverton,Non-Partisan Town Council TOWN OF TIVERTON,,NON,WRITE-IN,105
Tiverton,Non-Partisan Town Clerk TOWN OF TIVERTON,,,Total,5219
Tiverton,Non-Partisan Town Clerk TOWN OF TIVERTON,,NON,Nancy L. Mello,3567
Tiverton,Non-Partisan Town Clerk TOWN OF TIVERTON,,NON,Lori A. Roy,1634
Tiverton,Non-Partisan Town Clerk TOWN OF TIVERTON,,NON,WRITE-IN,18
Tiverton,Judge Of Probate TOWN OF TIVERTON,,,Total,4476
Tiverton,Judge Of Probate TOWN OF TIVERTON,,DEM,Richard P. D&#39;Addario,4383
Tiverton,Judge Of Probate TOWN OF TIVERTON,,NON,WRITE-IN,93
Tiverton,Non-Partisan School Committee TOWN OF TIVERTON,,,Total,8053
Tiverton,Non-Partisan School Committee TOWN OF TIVERTON,,NON,Elaine D. Pavao,2997
Tiverton,Non-Partisan School Committee TOWN OF TIVERTON,,NON,Gloria C. Crist,2464
Tiverton,Non-Partisan School Committee TOWN OF TIVERTON,,NON,Deborah A. Pallasch,2118
Tiverton,Non-Partisan School Committee TOWN OF TIVERTON,,NON,WRITE-IN,474
Tiverton,Non-Partisan Budget Committee TOWN OF TIVERTON,,,Total,25830
Tiverton,Non-Partisan Budget Committee TOWN OF TIVERTON,,NON,Deborah G. Janick,2677
Tiverton,Non-Partisan Budget Committee TOWN OF TIVERTON,,NON,Joseph R. Sousa,2551
Tiverton,Non-Partisan Budget Committee TOWN OF TIVERTON,,NON,Jeffrey E. Caron,2551
Tiverton,Non-Partisan Budget Committee TOWN OF TIVERTON,,NON,Thomas B. Haley,2515
Tiverton,Non-Partisan Budget Committee TOWN OF TIVERTON,,NON,Jennifer L. Joslyn,2505
Tiverton,Non-Partisan Budget Committee TOWN OF TIVERTON,,NON,Sheri M. Aakre,2503
Tiverton,Non-Partisan Budget Committee TOWN OF TIVERTON,,NON,Justin W. LaCroix,2457
Tiverton,Non-Partisan Budget Committee TOWN OF TIVERTON,,NON,Michael C. DeCotis,2205
Tiverton,Non-Partisan Budget Committee TOWN OF TIVERTON,,NON,Thor D. Aakre,1990
Tiverton,Non-Partisan Budget Committee TOWN OF TIVERTON,,NON,Alexander J. Cote,1977
Tiverton,Non-Partisan Budget Committee TOWN OF TIVERTON,,NON,Stuart W. Gilfillen,1840
Tiverton,Non-Partisan Budget Committee TOWN OF TIVERTON,,NON,WRITE-IN,59
Tiverton,Town Sergeant TOWN OF TIVERTON,,,Total,310
Tiverton,Town Sergeant TOWN OF TIVERTON,,NON,WRITE-IN,310
Tiverton,"1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000",,,Total,6274
Tiverton,"1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000",,NON,Approve,4311
Tiverton,"1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000",,NON,Reject,1963
Tiverton,"2. HIGHER EDUCATION FACILITIES - $70,000,000",,,Total,6198
Tiverton,"2. HIGHER EDUCATION FACILITIES - $70,000,000",,NON,Reject,3114
Tiverton,"2. HIGHER EDUCATION FACILITIES - $70,000,000",,NON,Approve,3084
Tiverton,"3. GREEN ECONOMY AND CLEAN WATER - $47,300,000",,,Total,6195
Tiverton,"3. GREEN ECONOMY AND CLEAN WATER - $47,300,000",,NON,Approve,4364
Tiverton,"3. GREEN ECONOMY AND CLEAN WATER - $47,300,000",,NON,Reject,1831
Tiverton,QUESTIONS 4 - 11 AMENDMENTS TO THE TIVERTON HOME RULE,,,Total,6070
Tiverton,QUESTIONS 4 - 11 AMENDMENTS TO THE TIVERTON HOME RULE,,NON,Approve,3190
Tiverton,QUESTIONS 4 - 11 AMENDMENTS TO THE TIVERTON HOME RULE,,NON,Reject,2880
Tiverton,5. ADVOCACY BY TOWN OFFICIALS TOWN OF TIVERTON,,,Total,6172
Tiverton,5. ADVOCACY BY TOWN OFFICIALS TOWN OF TIVERTON,,NON,Reject,3574
Tiverton,5. ADVOCACY BY TOWN OFFICIALS TOWN OF TIVERTON,,NON,Approve,2598
Tiverton,6. CHARTER COMPLAINTS TOWN OF TIVERTON,,,Total,6156
Tiverton,6. CHARTER COMPLAINTS TOWN OF TIVERTON,,NON,Reject,3107
Tiverton,6. CHARTER COMPLAINTS TOWN OF TIVERTON,,NON,Approve,3049
Tiverton,7. TEMPORARY EMPLOYEES TOWN OF TIVERTON,,,Total,6122
Tiverton,7. TEMPORARY EMPLOYEES TOWN OF TIVERTON,,NON,Reject,3592
Tiverton,7. TEMPORARY EMPLOYEES TOWN OF TIVERTON,,NON,Approve,2530
Tiverton,8. NON-SUBSTANTIVE CHANGES TOWN OF TIVERTON,,,Total,6108
Tiverton,8. NON-SUBSTANTIVE CHANGES TOWN OF TIVERTON,,NON,Approve,3429
Tiverton,8. NON-SUBSTANTIVE CHANGES TOWN OF TIVERTON,,NON,Reject,2679
Tiverton,9. BOARD MEMBERSHIP TOWN OF TIVERTON,,,Total,6140
Tiverton,9. BOARD MEMBERSHIP TOWN OF TIVERTON,,NON,Reject,3448
Tiverton,9. BOARD MEMBERSHIP TOWN OF TIVERTON,,NON,Approve,2692
Tiverton,10. CASINO GAMING REVENUE TOWN OF TIVERTON,,,Total,6252
Tiverton,10. CASINO GAMING REVENUE TOWN OF TIVERTON,,NON,Reject,3133
Tiverton,10. CASINO GAMING REVENUE TOWN OF TIVERTON,,NON,Approve,3119
Tiverton,11. FINANCIAL TOWN REFERENDUM TOWN OF TIVERTON,,,Total,6075
Tiverton,11. FINANCIAL TOWN REFERENDUM TOWN OF TIVERTON,,NON,Reject,3084
Tiverton,11. FINANCIAL TOWN REFERENDUM TOWN OF TIVERTON,,NON,Approve,2991
Warren,Senator in Congress,,,Total,4005
Warren,Senator in Congress,,DEM,Sheldon Whitehouse,2463
Warren,Senator in Congress,,REP,"Robert G. Flanders, Jr.",1534
Warren,Senator in Congress,,NON,WRITE-IN,8
Warren,Representative in Congress District 1,,,Total,3976
Warren,Representative in Congress District 1,,DEM,David N. Cicilline,2511
Warren,Representative in Congress District 1,,REP,Patrick J. Donovan,1458
Warren,Representative in Congress District 1,,NON,WRITE-IN,7
Warren,Governor,,,Total,3989
Warren,Governor,,DEM,Gina M. Raimondo,2162
Warren,Governor,,REP,Allan W. Fung,1387
Warren,Governor,,Ind,Joseph A. Trillo,192
Warren,Governor,,MOD,William H. Gilbert,119
Warren,Governor,,Ind,Luis Daniel Munoz,62
Warren,Governor,,Com,Anne Armstrong,50
Warren,Governor,,NON,WRITE-IN,17
Warren,Lieutenant Governor,,,Total,3850
Warren,Lieutenant Governor,,DEM,Daniel J. McKee,2356
Warren,Lieutenant Governor,,REP,Paul E. Pence,1091
Warren,Lieutenant Governor,,MOD,Joel J. Hellmann,142
Warren,Lieutenant Governor,,Ind,Jonathan J. Riccitelli,119
Warren,Lieutenant Governor,,Ind,Ross K. McCurdy,98
Warren,Lieutenant Governor,,NON,WRITE-IN,44
Warren,Secretary of State,,,Total,3905
Warren,Secretary of State,,DEM,Nellie M. Gorbea,2672
Warren,Secretary of State,,REP,Pat V. Cortellessa,1232
Warren,Secretary of State,,NON,WRITE-IN,1
Warren,Attorney General,,,Total,3662
Warren,Attorney General,,DEM,Peter F. Neronha,2876
Warren,Attorney General,,Com,Alan Gordon,750
Warren,Attorney General,,NON,WRITE-IN,36
Warren,General Treasurer,,,Total,3897
Warren,General Treasurer,,DEM,Seth Magaziner,2577
Warren,General Treasurer,,REP,Michael G. Riley,1313
Warren,General Treasurer,,NON,WRITE-IN,7
Warren,Senator in General Assembly District 10,,,Total,3464
Warren,Senator in General Assembly District 10,,DEM,"Walter S. Felag, Jr.",3351
Warren,Senator in General Assembly District 10,,NON,WRITE-IN,113
Warren,Representative in General Assembly District 67,,,Total,2173
Warren,Representative in General Assembly District 67,,DEM,Jason Knight,1448
Warren,Representative in General Assembly District 67,,Lib,Daryl Gould,696
Warren,Representative in General Assembly District 67,,NON,WRITE-IN,29
Warren,Representative in General Assembly District 68,,,Total,1568
Warren,Representative in General Assembly District 68,,DEM,Laufton Ascencao,1017
Warren,Representative in General Assembly District 68,,Lib,"William James Hunt, Jr.",540
Warren,Representative in General Assembly District 68,,NON,WRITE-IN,11
Warren,Town Council TOWN OF WARREN,,,Total,15413
Warren,Town Council TOWN OF WARREN,,Ind,Joseph A. DePasquale,2440
Warren,Town Council TOWN OF WARREN,,DEM,Keri M. Cronin,2272
Warren,Town Council TOWN OF WARREN,,Ind,John W. Hanley,1962
Warren,Town Council TOWN OF WARREN,,Ind,Steven P. Calenda,1953
Warren,Town Council TOWN OF WARREN,,DEM,P. Brandt Heckert,1900
Warren,Town Council TOWN OF WARREN,,DEM,June S. Speakman,1836
Warren,Town Council TOWN OF WARREN,,DEM,Keith Edward Phillis,1615
Warren,Town Council TOWN OF WARREN,,Ind,Barry L. Lial,1344
Warren,Town Council TOWN OF WARREN,,NON,WRITE-IN,91
Warren,Non-Partisan Bristol/Warren Regional School Committee,,,Total,3583
Warren,Non-Partisan Bristol/Warren Regional School Committee,,NON,Erin P. Schofield,1869
Warren,Non-Partisan Bristol/Warren Regional School Committee,,NON,"Charles A. Thibaudeau, Jr.",1694
Warren,Non-Partisan Bristol/Warren Regional School Committee,,NON,WRITE-IN,20
Warren,"1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000",,,Total,3846
Warren,"1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000",,NON,Approve,2950
Warren,"1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000",,NON,Reject,896
Warren,"2. HIGHER EDUCATION FACILITIES - $70,000,000",,,Total,3803
Warren,"2. HIGHER EDUCATION FACILITIES - $70,000,000",,NON,Approve,2135
Warren,"2. HIGHER EDUCATION FACILITIES - $70,000,000",,NON,Reject,1668
Warren,"3. GREEN ECONOMY AND CLEAN WATER - $47,300,000",,,Total,3826
Warren,"3. GREEN ECONOMY AND CLEAN WATER - $47,300,000",,NON,Approve,3053
Warren,"3. GREEN ECONOMY AND CLEAN WATER - $47,300,000",,NON,Reject,773
Warren,QUESTIONS 4 -5 AMENDMENTS TO THE WARREN HOME RULE,,,Total,3749
Warren,QUESTIONS 4 -5 AMENDMENTS TO THE WARREN HOME RULE,,NON,Reject,2222
Warren,QUESTIONS 4 -5 AMENDMENTS TO THE WARREN HOME RULE,,NON,Approve,1527
Warren,5. ADVERTISEMENT OF THE FINAL BUDGET TOWN OF WARREN,,,Total,3753
Warren,5. ADVERTISEMENT OF THE FINAL BUDGET TOWN OF WARREN,,NON,Reject,2322
Warren,5. ADVERTISEMENT OF THE FINAL BUDGET TOWN OF WARREN,,NON,Approve,1431
Warwick,Senator in Congress,,,Total,34449
Warwick,Senator in Congress,,DEM,Sheldon Whitehouse,19504
Warwick,Senator in Congress,,REP,"Robert G. Flanders, Jr.",14872
Warwick,Senator in Congress,,NON,WRITE-IN,73
Warwick,Representative in Congress District 2,,,Total,34139
Warwick,Representative in Congress District 2,,DEM,James R. Langevin,21759
Warwick,Representative in Congress District 2,,REP,Salvatore G. Caiozzo,12299
Warwick,Representative in Congress District 2,,NON,WRITE-IN,81
Warwick,Governor,,,Total,34330
Warwick,Governor,,DEM,Gina M. Raimondo,15713
Warwick,Governor,,REP,Allan W. Fung,14511
Warwick,Governor,,Ind,Joseph A. Trillo,1853
Warwick,Governor,,MOD,William H. Gilbert,1169
Warwick,Governor,,Ind,Luis Daniel Munoz,496
Warwick,Governor,,Com,Anne Armstrong,438
Warwick,Governor,,NON,WRITE-IN,150
Warwick,Lieutenant Governor,,,Total,33534
Warwick,Lieutenant Governor,,DEM,Daniel J. McKee,19625
Warwick,Lieutenant Governor,,REP,Paul E. Pence,11007
Warwick,Lieutenant Governor,,MOD,Joel J. Hellmann,1096
Warwick,Lieutenant Governor,,Ind,Jonathan J. Riccitelli,921
Warwick,Lieutenant Governor,,Ind,Ross K. McCurdy,697
Warwick,Lieutenant Governor,,NON,WRITE-IN,188
Warwick,Secretary of State,,,Total,33617
Warwick,Secretary of State,,DEM,Nellie M. Gorbea,21589
Warwick,Secretary of State,,REP,Pat V. Cortellessa,11971
Warwick,Secretary of State,,NON,WRITE-IN,57
Warwick,Attorney General,,,Total,31485
Warwick,Attorney General,,DEM,Peter F. Neronha,24468
Warwick,Attorney General,,Com,Alan Gordon,6582
Warwick,Attorney General,,NON,WRITE-IN,435
Warwick,General Treasurer,,,Total,33645
Warwick,General Treasurer,,DEM,Seth Magaziner,20761
Warwick,General Treasurer,,REP,Michael G. Riley,12838
Warwick,General Treasurer,,NON,WRITE-IN,46
