GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HD01,SUBHD020101,SUBHD020102,SUBHD020103,SUBHD020104,SUBHD020105,SUBHD020106,SUBHD020107,SUBHD0202,HD03
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,Total population,Race - One race - Total,Race - One race - White,Race - One race - Black or African American,Race - One race - American Indian and Alaska Native,Race - One race - Asian,Race - One race - Native Hawaiian and Other Pacific Islander,Race - One race - Some Other Race,Race - Two or More Races,Hispanic or Latino (of any race)
0400000US37,37,North Carolina,0500000US37025,37025,North Carolina - Cabarrus County,Cabarrus County,178011,174269,134149,27219,659,3513,65,8664,3742,16767
0400000US37,37,North Carolina,0500000US37027,37027,North Carolina - Caldwell County,Caldwell County,83029,81771,74925,4086,257,428,27,2048,1258,3796
0400000US37,37,North Carolina,0500000US37029,37029,North Carolina - Camden County,Camden County,9980,9767,8193,1316,33,146,5,74,213,215
0400000US37,37,North Carolina,0500000US37031,37031,North Carolina - Carteret County,Carteret County,66469,65162,59346,4041,316,580,67,812,1307,2241
0400000US37,37,North Carolina,0500000US37033,37033,North Carolina - Caswell County,Caswell County,23719,23338,14819,8020,85,60,4,350,381,744
0400000US37,37,North Carolina,0500000US37035,37035,North Carolina - Catawba County,Catawba County,154358,151481,126151,13041,489,5352,53,6395,2877,13032
0400000US37,37,North Carolina,0500000US37037,37037,North Carolina - Chatham County,Chatham County,63505,62319,48237,8392,344,703,24,4619,1186,8228
0400000US37,37,North Carolina,0500000US37039,37039,North Carolina - Cherokee County,Cherokee County,27444,26769,25700,350,363,132,9,215,675,688
0400000US37,37,North Carolina,0500000US37041,37041,North Carolina - Chowan County,Chowan County,14793,14612,9174,5070,43,52,7,266,181,467
0400000US37,37,North Carolina,0500000US37043,37043,North Carolina - Clay County,Clay County,10587,10434,10231,64,32,24,2,81,153,258
0400000US37,37,North Carolina,0500000US37045,37045,North Carolina - Cleveland County,Cleveland County,98078,96598,74123,20332,232,756,24,1131,1480,2756
0400000US37,37,North Carolina,0500000US37047,37047,North Carolina - Columbus County,Columbus County,58098,57224,35735,17713,1845,154,27,1750,874,2662
0400000US37,37,North Carolina,0500000US37049,37049,North Carolina - Craven County,Craven County,103505,100733,72441,23193,504,2099,135,2361,2772,6272
0400000US37,37,North Carolina,0500000US37051,37051,North Carolina - Cumberland County,Cumberland County,319431,304579,164064,117117,5140,7090,1225,9943,14852,30190
0400000US37,37,North Carolina,0500000US37053,37053,North Carolina - Currituck County,Currituck County,23547,23118,21268,1361,107,148,11,223,429,704
0400000US37,37,North Carolina,0500000US37055,37055,North Carolina - Dare County,Dare County,33920,33307,31313,834,125,212,13,810,613,2210
0400000US37,37,North Carolina,0500000US37057,37057,North Carolina - Davidson County,Davidson County,162878,160466,137359,14421,794,1994,27,5871,2412,10408
0400000US37,37,North Carolina,0500000US37059,37059,North Carolina - Davie County,Davie County,41240,40545,36100,2593,149,239,6,1458,695,2496
0400000US37,37,North Carolina,0500000US37061,37061,North Carolina - Duplin County,Duplin County,58505,57565,33449,14773,267,155,65,8856,940,12059
0400000US37,37,North Carolina,0500000US37063,37063,North Carolina - Durham County,Durham County,267587(r47107),260734,124274,101577,1339,12278,172,21094,6853,36077
0400000US37,37,North Carolina,0500000US37065,37065,North Carolina - Edgecombe County,Edgecombe County,56552,55981,21923,32435,169,113,15,1326,571,2104
0400000US37,37,North Carolina,0500000US37067,37067,North Carolina - Forsyth County,Forsyth County,350670,343086,218517,91227,1457,6495,223,25167,7584,41775
0400000US37,37,North Carolina,0500000US37069,37069,North Carolina - Franklin County,Franklin County,60619,59510,40003,16212,329,288,12,2666,1109,4776
0400000US37,37,North Carolina,0500000US37071,37071,North Carolina - Gaston County,Gaston County,206086,202303,161166,31431,850,2478,63,6315,3783,12201
0400000US37,37,North Carolina,0500000US37073,37073,North Carolina - Gates County,Gates County,12197,11977,7768,4044,65,17,10,73,220,173
0400000US37,37,North Carolina,0500000US37075,37075,North Carolina - Graham County,Graham County,8861,8711,8004,17,566,29,4,91,150,194
0400000US37,37,North Carolina,0500000US37077,37077,North Carolina - Granville County,Granville County,59916(r47120),58878,36205,19652,338,326,34,2323,1038,4482
0400000US37,37,North Carolina,0500000US37079,37079,North Carolina - Greene County,Greene County,21362,21048,10850,7964,154,72,6,2002,314,3054
0400000US37,37,North Carolina,0500000US37081,37081,North Carolina - Guilford County,Guilford County,488406,477104,278525,158899,2594,19176,235,17675,11302,34826
0400000US37,37,North Carolina,0500000US37083,37083,North Carolina - Halifax County,Halifax County,54691,54032,21890,29109,2071,362,19,581,659,1152
0400000US37,37,North Carolina,0500000US37085,37085,North Carolina - Harnett County,Harnett County,114678,111105,78300,23973,1392,1029,139,6272,3573,12359
0400000US37,37,North Carolina,0500000US37087,37087,North Carolina - Haywood County,Haywood County,59036,58406,56405,624,303,215,15,844,630,1999
0400000US37,37,North Carolina,0500000US37089,37089,North Carolina - Henderson County,Henderson County,106740,104721,94914,3224,449,1022,178,4934,2019,10424
0400000US37,37,North Carolina,0500000US37091,37091,North Carolina - Hertford County,Hertford County,24669,24364,8786,14933,274,131,5,235,305,644
0400000US37,37,North Carolina,0500000US37093,37093,North Carolina - Hoke County,Hoke County,46952,44844,21272,15716,4512,484,117,2743,2108,5823
0400000US37,37,North Carolina,0500000US37095,37095,North Carolina - Hyde County,Hyde County,5810,5741,3718,1836,28,16,1,142,69,411
0400000US37,37,North Carolina,0500000US37097,37097,North Carolina - Iredell County,Iredell County,159437,156553,128646,19047,547,2922,43,5348,2884,10844
0400000US37,37,North Carolina,0500000US37099,37099,North Carolina - Jackson County,Jackson County,40271,39489,33489,745,3804,348,16,1087,782,2038
0400000US37,37,North Carolina,0500000US37101,37101,North Carolina - Johnston County,Johnston County,168878,165559,125349,25546,939,1021,51,12653,3319,21814
0400000US37,37,North Carolina,0500000US37103,37103,North Carolina - Jones County,Jones County,10153,9965,6395,3289,57,32,2,190,188,398
0400000US37,37,North Carolina,0500000US37105,37105,North Carolina - Lee County,Lee County,57866,56455,38688,11565,407,489,20,5286,1411,10576
0400000US37,37,North Carolina,0500000US37107,37107,North Carolina - Lenoir County,Lenoir County,59495,58710,31758,24121,222,262,48,2299,785,3917
0400000US37,37,North Carolina,0500000US37109,37109,North Carolina - Lincoln County,Lincoln County,78265,77046,69940,4340,250,421,17,2078,1219,5238
0400000US37,37,North Carolina,0500000US37111,37111,North Carolina - McDowell County,McDowell County,44996,44445,40754,1708,189,351,1,1442,551,2392
0400000US37,37,North Carolina,0500000US37113,37113,North Carolina - Macon County,Macon County,33922,33540,31811,447,165,208,4,905,382,2230
0400000US37,37,North Carolina,0500000US37115,37115,North Carolina - Madison County,Madison County,20764,20495,20035,240,48,70,8,94,269,423
0400000US37,37,North Carolina,0500000US37117,37117,North Carolina - Martin County,Martin County,24505,24258,13019,10651,73,71,10,434,247,769
0400000US37,37,North Carolina,0500000US37119,37119,North Carolina - Mecklenburg County,Mecklenburg County,919628,896144,508946,282804,4261,42352,668,57113,23484,111944
0400000US37,37,North Carolina,0500000US37121,37121,North Carolina - Mitchell County,Mitchell County,15579,15415,14844,58,65,50,1,397,164,631
0400000US37,37,North Carolina,0500000US37123,37123,North Carolina - Montgomery County,Montgomery County,27798,27396,19162,5231,120,441,3,2439,402,3926
0400000US37,37,North Carolina,0500000US37125,37125,North Carolina - Moore County,Moore County,88247,86728,70913,11839,732,754,64,2426,1519,5261
0400000US37,37,North Carolina,0500000US37127,37127,North Carolina - Nash County,Nash County,95840,94281,53531,35650,657,747,19,3677,1559,6015
0400000US37,37,North Carolina,0500000US37129,37129,North Carolina - New Hanover County,New Hanover County,202667,198602,160298,29907,1005,2410,130,4852,4065,10716
0400000US37,37,North Carolina,0500000US37131,37131,North Carolina - Northampton County,Northampton County,22099,21886,8668,12895,101,39,2,181,213,305
0400000US37,37,North Carolina,0500000US37133,37133,North Carolina - Onslow County,Onslow County,177772,170021,131590,27672,1238,3355,487,5679,7751,17896
0400000US37,37,North Carolina,0500000US37135,37135,North Carolina - Orange County,Orange County,133801,130398,99495,15928,570,9023,41,5341,3403,11017
0400000US37,37,North Carolina,0500000US37137,37137,North Carolina - Pamlico County,Pamlico County,13144,12965,10032,2632,77,50,11,163,179,412
0400000US37,37,North Carolina,0500000US37139,37139,North Carolina - Pasquotank County,Pasquotank County,40661,39765,23059,15355,141,454,19,737,896,1642
0400000US37,37,North Carolina,0500000US37141,37141,North Carolina - Pender County,Pender County,52217,51283,39756,9269,291,207,18,1742,934,3194
0400000US37,37,North Carolina,0500000US37143,37143,North Carolina - Perquimans County,Perquimans County,13453,13279,9694,3347,41,38,2,157,174,286
0400000US37,37,North Carolina,0500000US37145,37145,North Carolina - Person County,Person County,39464,38868,26968,10646,266,116,4,868,596,1593
0400000US37,37,North Carolina,0500000US37147,37147,North Carolina - Pitt County,Pitt County,168148,164760,99075,57257,582,2613,97,5136,3388,9202
0400000US37,37,North Carolina,0500000US37149,37149,North Carolina - Polk County,Polk County,20510,20221,18633,918,72,68,2,528,289,1122
0400000US37,37,North Carolina,0500000US37151,37151,North Carolina - Randolph County,Randolph County,141752,139322,121169,8176,952,1431,33,7561,2430,14698
0400000US37,37,North Carolina,0500000US37153,37153,North Carolina - Richmond County,Richmond County,46639,45671,28072,14269,1173,431,26,1700,968,2741
0400000US37,37,North Carolina,0500000US37155,37155,North Carolina - Robeson County,Robeson County,134168,130767,38877,32637,51502,993,86,6672,3401,10932
0400000US37,37,North Carolina,0500000US37157,37157,North Carolina - Rockingham County,Rockingham County,93643,91973,70875,17655,345,430,60,2608,1670,5159
0400000US37,37,North Carolina,0500000US37159,37159,North Carolina - Rowan County,Rowan County,138428,136211,105923,22392,468,1386,49,5993,2217,10644
0400000US37,37,North Carolina,0500000US37161,37161,North Carolina - Rutherford County,Rutherford County,67810,66581,58221,6854,171,296,5,1034,1229,2397
0400000US37,37,North Carolina,0500000US37163,37163,North Carolina - Sampson County,Sampson County,63431,62154,35985,17128,1297,242,72,7430,1277,10440
0400000US37,37,North Carolina,0500000US37165,37165,North Carolina - Scotland County,Scotland County,36157,35368,16822,13943,3934,276,8,385,789,754
0400000US37,37,North Carolina,0500000US37167,37167,North Carolina - Stanly County,Stanly County,60585,59881,50623,6630,197,1118,42,1271,704,2166
0400000US37,37,North Carolina,0500000US37169,37169,North Carolina - Stokes County,Stokes County,47401,46814,44021,1916,156,125,7,589,587,1254
0400000US37,37,North Carolina,0500000US37171,37171,North Carolina - Surry County,Surry County,73673,72669,64926,2749,219,347,18,4410,1004,7155
0400000US37,37,North Carolina,0500000US37173,37173,North Carolina - Swain County,Swain County,13981,13387,9315,76,3775,67,4,150,594,540
0400000US37,37,North Carolina,0500000US37175,37175,North Carolina - Transylvania County,Transylvania County,33090,32531,30577,1292,95,144,8,415,559,964
0400000US37,37,North Carolina,0500000US37177,37177,North Carolina - Tyrrell County,Tyrrell County,4407,4345,2403,1683,17,80,1,161,62,240
0400000US37,37,North Carolina,0500000US37179,37179,North Carolina - Union County,Union County,201292,197421,158954,23558,815,3271,63,10760,3871,20967
0400000US37,37,North Carolina,0500000US37181,37181,North Carolina - Vance County,Vance County,45422,44813,20058,22645,147,202,7,1754,609,3051
0400000US37,37,North Carolina,0500000US37183,37183,North Carolina - Wake County,Wake County,900993,878427,597546,186510,4503,48553,387,40928,22566,87922
0400000US37,37,North Carolina,0500000US37185,37185,North Carolina - Warren County,Warren County,20972,20630,8128,10970,1050,51,3,428,342,692
0400000US37,37,North Carolina,0500000US37187,37187,North Carolina - Washington County,Washington County,13228,13074,6084,6587,24,38,1,340,154,466
0400000US37,37,North Carolina,0500000US37189,37189,North Carolina - Watauga County,Watauga County,51079,50363,48272,877,129,475,13,597,716,1713
0400000US37,37,North Carolina,0500000US37191,37191,North Carolina - Wayne County,Wayne County,122623,119799,72135,38499,481,1431,64,7189,2824,12162
0400000US37,37,North Carolina,0500000US37193,37193,North Carolina - Wilkes County,Wilkes County,69340,68415,62824,2830,133,296,20,2312,925,3772
0400000US37,37,North Carolina,0500000US37195,37195,North Carolina - Wilson County,Wilson County,81234,79961,42222,31686,238,668,25,5122,1273,7724
0400000US37,37,North Carolina,0500000US37197,37197,North Carolina - Yadkin County,Yadkin County,38406,37928,34007,1192,79,78,12,2560,478,3749
0400000US37,37,North Carolina,0500000US37199,37199,North Carolina - Yancey County,Yancey County,17818,17650,16967,145,79,34,5,420,168,814
0400000US44,44,Rhode Island,0400000US44,44,Rhode Island,Rhode Island,1052567,1017780,856869,60189,6058,30457,554,63653,34787,130655
0400000US44,44,Rhode Island,0500000US44001,44001,Rhode Island - Bristol County,Bristol County,49875,49134,47752,398,80,716,3,185,741,989
0400000US44,44,Rhode Island,0500000US44003,44003,Rhode Island - Kent County,Kent County,166158,163088,155219,2405,437,3378,39,1610,3070,5309
0400000US44,44,Rhode Island,0500000US44005,44005,Rhode Island - Newport County,Newport County,82888,80409,74729,2864,315,1288,63,1150,2479,3512
