OBJECTID,NAME,Shape__Area,Shape__Length
207,2619,0.00012585819808919,0.058629995437166
208,2620,0.000120418868618799,0.0470804887382657
209,2614,8.56779954574449e-05,0.0519043448310997
210,2612,7.1278118639384e-05,0.0415529964750956
211,2618,0.000128779736087381,0.0525785504483742
212,2701,0.00173385709808827,0.549126214987478
213,2702,0.000220714718125237,0.0798801209964354
214,2703,0.000403689630502413,0.292590691163592
215,2704,0.000546286776852867,0.150967536542591
216,2705,0.000840043947846425,0.205065183803882
217,2706,0.000166499080251015,0.0637621017342356
218,2707,0.000853905737812966,0.162451995223538
219,2708,0.00176298545102327,0.230290452902633
220,2801,3.20744052260125e-05,0.0289050725190378
221,2811,8.31851366456249e-05,0.0511460378579133
222,2812,0.000142715229912938,0.0582239476876394
223,2813,7.01841186128149e-05,0.0424180242770511
224,2814,5.76627951431874e-05,0.0345886657831257
225,2802,3.29571284964914e-05,0.0237074103631899
226,2805,0.000113463337356734,0.0521610582920287
227,2804,3.5613899171949e-05,0.0251986194474375
228,2803,0.000128501229482936,0.048902802041281
229,2806,8.41639575810404e-06,0.0179268251212727
230,2807,4.72627448289131e-06,0.0108141482696711
231,2808,8.41867629333137e-05,0.0570212858048822
232,2809,9.96747071440041e-05,0.0723198262970999
233,2810,6.5678253349688e-05,0.0559668597186376
234,2815,0.00022508721781378,0.0783340130533047
235,2817,9.99928461169475e-05,0.0571271900061543
236,2816,0.000106722410919247,0.0509671512660613
237,2819,0.000158813834104876,0.0836392491938616
238,2820,5.6499228321627e-05,0.0360175825766291
239,2821,5.81828251142724e-05,0.0419667343666362
240,2822,1.48728249769192e-05,0.0250210606981364
241,2823,8.85371325693995e-05,0.0450467090539043
242,2825,1.48103858919058e-05,0.0253467631776123
243,2824,0.000236645355244036,0.0717355353334785
244,2826,5.85615014188079e-05,0.0342404167064093
245,2827,0.000111387881361225,0.0504122954104181
246,2828,4.96622303671757e-05,0.041210533588814
247,2829,4.35027195635485e-05,0.0320039071791672
248,2830,7.23582479622564e-06,0.0119785714748095
249,2832,0.000115163898271931,0.0515722898028423
250,2833,8.38978953652259e-05,0.0629959976171408
251,2834,0.000182385291964238,0.0938319741501904
252,2835,1.21977270737261e-05,0.0176035427144465
253,2836,1.44162243032042e-05,0.0194163752379887
254,2837,7.00579382737487e-05,0.0377407537737572
255,2838,1.07069070054422e-05,0.0142880035412552
256,2839,6.27194172011514e-05,0.0420369429088693
257,2841,1.89217166735034e-05,0.0214267923254694
258,2843,2.18447964925872e-05,0.0225943188779132
259,2842,1.64057323672751e-05,0.0163529732528325
260,2844,0.000101782200317757,0.0506801389586076
261,2845,3.38251072662388e-05,0.0326896217562518
262,2846,4.33914444784023e-05,0.0322222758860221
263,2847,2.23128377001558e-05,0.0357748345614599
264,2848,1.70183827776782e-05,0.0203622037674456
265,2849,0.000214894562759582,0.0771377732113738
266,2850,5.82653410674538e-05,0.0579149525003469
267,2851,5.27931535998505e-05,0.0465383286390977
268,2852,1.66964680374804e-05,0.0226113461806264
269,2853,2.34507399454742e-05,0.0269218480263954
270,2854,0.000116727504291703,0.0692299470056215
271,2855,7.64611793329095e-05,0.0523382711129775
272,2856,5.55761926079867e-06,0.0161161883029379
273,2857,5.98642463955912e-06,0.00986361440516963
274,2858,6.12379192261869e-05,0.0525416903240063
275,2859,4.64837771687598e-05,0.0410904867037588
276,2860,8.32559635455254e-06,0.0131730428057566
277,2861,6.29089313406439e-05,0.037738357089611
278,2862,8.90754265583382e-05,0.0553598084190218
279,2863,7.39743034046114e-05,0.0402390236291953
280,2864,1.92293045984115e-05,0.0231205901616612
281,2865,2.91334945359267e-05,0.0387519408974193
282,2866,3.75097699816251e-05,0.0279444775402285
283,2867,3.9601196476724e-05,0.0485462931720049
284,2868,6.72951093747542e-05,0.0390259720501778
285,2869,1.59152057221945e-05,0.0229215935820442
286,2870,6.50781830699998e-05,0.0426378951385737
287,2873,7.69542361922504e-06,0.0143766907289116
288,2874,0.000148905001651656,0.0751714286486713
289,2876,3.67953764452977e-05,0.0321478167079463
290,2875,7.36178860734071e-05,0.0475132203936357
291,2877,2.90899879473727e-05,0.0327180275616593
292,2878,3.8521438909811e-06,0.0122016076599577
293,2840,5.15123458626476e-05,0.0404016493097337
294,2871,4.3584280547293e-05,0.0306839729076545
295,2872,0.000170211498470962,0.0617415802477049
296,2901,0.00550901239648738,0.379926614857404
297,2902,0.00586488408066543,0.65661173632217
298,3104,0.00168483938864483,0.194324263346091
299,3101,0.00110435401984432,0.169974709598212
300,3205,0.000499432109108966,0.138286260446228
301,3207,0.00270660403475631,0.295461312154419
302,3204,0.000466231708287523,0.120994838458479
303,3202,0.001325216225041,0.183738844013146
304,3203,0.00136435249851274,0.148914523060009
305,3201,0.000702099332329453,0.183605404560471
306,3206,0.00317259301345985,0.302644781087398
307,3303,0.000599955530788066,0.129104426051541
308,3304,0.00128249581030104,0.217175223903608
309,3302,0.000680283023029915,0.122840059261212
310,3306,0.00249096519587511,0.302153063629957
311,3307,0.00259119771180849,0.562943114359743
312,3305,0.000379666401158829,0.127529192022666
313,3301,0.00034763362123158,0.114474359518335
314,3501,0.000233236788972135,0.12839601913307
315,3502,0.000268674924427614,0.0761428442608301
316,3503,0.000161855390160781,0.0562955473383864
317,3504,0.000166440585871896,0.0659926999129087
318,3505,0.000107544868797049,0.0589665663532788
319,3506,0.00017015831167555,0.0909183284162491
320,3507,9.83975407962134e-05,0.108926111078991
321,3509,0.000316453827736041,0.118083044389763
322,3510,0.00015388057772725,0.0555371110937728
323,3512,0.000142013797358231,0.069509198383667
324,3513,0.000790744103369434,0.163215043405128
325,3514,0.000249721945920101,0.0807626850401996
326,3515,0.000273247869927218,0.170997038281987
327,3516,8.02536540049914e-05,0.0498645643412191
328,3517,0.000102324579756896,0.0582057157940186
329,3519,0.000467344831349692,0.140764992193797
330,3520,0.000201027641196561,0.126094749223261
331,3521,0.000250407911380535,0.093766222333718
332,3525,0.000234435826087065,0.0805424989689331
333,3526,7.9162220345097e-05,0.0955324915144928
334,3527,0.000738763416848087,0.221547331058784
335,3528,0.000118761200155859,0.0475601184961518
336,3529,0.000441397066424543,0.13048906195079
337,3530,0.000653399735710991,0.141698030257699
338,3531,0.000615798717035432,0.14193350362176
339,3533,0.000487736416516782,0.103600085164028
340,3522,0.000171914149404984,0.0909707243524977
341,3518,0.000555551481738803,0.185644738322799
342,3508,0.000338575682462761,0.108790652151836
343,3524,0.000187667213594978,0.066352459874265
344,3511,0.000360775216904585,0.1453746558817
345,3532,0.000462479838006402,0.107470441582074
346,3523,0.000334363120600756,0.116119276508852
